,verb,"NP V that S{first, past}","NP V that S{third, past}","NP V that S{first, present}","NP V that S{third, present}","NP be V that S{first, past}","NP be V that S{third, past}","NP be V that S{first, present}","NP be V that S{third, present}","NP be V to VP[+eventive]{first, past}","NP be V to VP[+eventive]{third, past}","NP be V to VP[+eventive]{first, present}","NP be V to VP[+eventive]{third, present}","NP V to VP[+eventive]{first, past}","NP V to VP[+eventive]{third, past}","NP V to VP[+eventive]{first, present}","NP V to VP[+eventive]{third, present}","NP V to VP[-eventive]{first, past}","NP V to VP[-eventive]{third, past}","NP V to VP[-eventive]{first, present}","NP V to VP[-eventive]{third, present}","NP be V to VP[-eventive]{first, past}","NP be V to VP[-eventive]{third, past}","NP be V to VP[-eventive]{first, present}","NP be V to VP[-eventive]{third, present}",tense: past,tense: present,subject: first,subject: third,total
0,abhor,0.399,0.399,0.399,0.399,0.40099999999999997,0.40099999999999997,0.40099999999999997,0.40099999999999997,0.189,0.189,0.189,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0.29316666666666674,0.4200000000000001,0.32775,0.32199999999999995,0.324875
1,absolve,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0.418,0.418,0.418,0,0,0,0,0,0,0,0,0.3375,0,0.25699999999999995,0.418,0.3375
2,accept,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0,0,0,0,0.365,0.365,0.365,0.365,0,0,0,0,0.6049999999999999,0.6049999999999999,0.6049999999999999,0.6049999999999999,0,0,0,0,0.4649999999999999,0.5083333333333333,0.48966666666666664,0.4836666666666666,0.4866666666666667
3,acclaim,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.39,0.39,0.39,0,0,0,0,0.45,0.45,0.45,0.45,0.39875,0.4109999999999999,0.36766666666666664,0.43799999999999994,0.4028333333333333
4,acknowledge,0.352,0.352,0.352,0.352,0,0,0,0,0,0,0,0,0.48900000000000005,0.48900000000000005,0.48900000000000005,0.48900000000000005,0.5199999999999999,0.5199999999999999,0.5199999999999999,0.5199999999999999,0.42699999999999994,0.42699999999999994,0.42699999999999994,0.42699999999999994,0.43362500000000004,0.463,0.42100000000000004,0.4714285714285714,0.44621428571428573
5,add,0.31799999999999995,0.31799999999999995,0.31799999999999995,0.31799999999999995,0,0,0,0,0.279,0.279,0.279,0.279,0.346,0.346,0.346,0.346,0,0,0,0,0,0,0,0,0.3051666666666667,0.2955,0.31775000000000003,0.28775000000000006,0.30274999999999996
6,address,0.354,0.354,0.354,0.354,0.197,0.197,0.197,0.197,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0.35783333333333334,0.35200000000000004,0.42400000000000004,0.28875,0.356375
7,admire,0.335,0.335,0.335,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32649999999999996,0.36150000000000004,0.321,0.3786666666666667,0.34983333333333333
8,admit,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0,0,0,0,0.38699999999999996,0.38699999999999996,0.38699999999999996,0.38699999999999996,0.502,0.502,0.502,0.502,0.43699999999999994,0.43699999999999994,0.43699999999999994,0.43699999999999994,0.6239999999999999,0.6239999999999999,0.6239999999999999,0.6239999999999999,0.42729999999999996,0.46925000000000006,0.36871428571428577,0.5098571428571429,0.4392857142857143
9,admonish,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.32799999999999996,0.32799999999999996,0.32799999999999996,0.32799999999999996,0.38,0.38,0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.3265,0.35975,0.34700000000000003,0.3326,0.3398
